experiment,timestamp_first,noise_level,traffic_pattern,isolation_method,identity_mode,strategy,containers,failure_mode,iteration,samples,unique_tenants,p50_ms_mean,p50_ms_std,p50_ms_min,p50_ms_max,p95_ms_mean,p95_ms_std,p95_ms_min,p95_ms_max,p99_ms_mean,p99_ms_std,p99_ms_min,p99_ms_max,jitter_ms_mean,jitter_ms_std,jitter_ms_min,jitter_ms_max,throughput_rps_mean,throughput_rps_std,throughput_rps_min,throughput_rps_max,packet_drops_mean,packet_drops_std,packet_drops_min,packet_drops_max,tail_amplification_mean,tail_amplification_std,tail_amplification_min,tail_amplification_max,isolation_score_mean,isolation_score_std,isolation_score_min,isolation_score_max
exp_00001_nlow_pconstant_mnone_idip_c3_fnone_it1,2026-03-22T09:47:49+05:30,low,constant,none,ip,none,3,none,1,8,2,0.65025,0.05068318966171835,0.589,0.715,0.96975,0.31563394258901517,0.721,1.684,1.94225,1.423074312887419,0.985,5.359,0.344875,0.26725185419642755,0.109,0.83,30.360625,4.638258753870587,24.341,35.37,0.0,0.0,0.0,0.0,2.916225,1.9119428919669272,1.6362,7.4951,1.4434500000000001,1.1829983371561796,0.7982,4.3428
exp_00002_nlow_pconstant_mnone_idip_c3_fnone_it2,2026-03-22T09:48:20+05:30,low,constant,none,ip,none,3,none,2,4,2,0.64725,0.03881902454553269,0.605,0.685,0.93825,0.1864070367055207,0.785,1.201,2.1222499999999997,1.316683048421297,0.965,3.961,0.47800000000000004,0.2951869464141891,0.117,0.777,31.395,3.5706547485486944,27.682,34.625,0.0,0.0,0.0,0.0,3.213125,1.8354296215963533,1.5465,5.7825,1.5315,0.8433902576308709,0.6345,2.6042
exp_00002_nlow_pconstant_mnone_idip_c3_fspike_it1,2026-03-22T11:17:31+05:30,low,constant,none,ip,none,3,spike,1,4,2,0.64475,0.030048571790796785,0.615,0.674,0.90925,0.06012417705604516,0.82,0.947,1.57875,0.11890997995682838,1.447,1.724,0.32525000000000004,0.05275335692320127,0.257,0.385,29.83825,2.31613447724148,27.412,32.489,0.0,0.0,0.0,0.0,2.446525,0.08522235133265617,2.3528,2.5579,1.155075,0.12555650454410297,1.0046,1.3096
exp_00003_nlow_pconstant_mnone_idcgroup_c3_fnone_it1,2026-03-22T11:18:05+05:30,low,constant,none,ip,none,3,none,1,4,2,0.64975,0.03187867625859019,0.61,0.677,0.86025,0.056192377893566084,0.796,0.925,1.3835,0.4744551260832436,0.902,2.034,0.28625,0.22283383196154632,0.101,0.58,30.7725,1.5577474121307349,28.586,32.016,0.0,0.0,0.0,0.0,2.128125,0.7397025815600934,1.4787,3.1881,0.9958499999999999,0.2760867315416178,0.731,1.3373
exp_00003_nlow_pconstant_mnone_idip_c3_fnone_it3,2026-03-22T09:48:50+05:30,low,constant,none,ip,none,3,none,3,4,2,0.6485000000000001,0.031246333118197005,0.621,0.685,0.81925,0.0693078879589714,0.759,0.9,1.45875,0.924290133021012,0.985,2.845,0.3005,0.2185291742536909,0.097,0.544,32.242,2.8233044469203095,29.59,34.97,0.0,0.0,0.0,0.0,2.213575,1.2933798085507082,1.5331,4.1533,1.03565,0.5619329764304637,0.6489,1.8705
exp_00004_nlow_pconstant_mnone_idcgroup_c3_fspike_it1,2026-03-22T11:18:41+05:30,low,constant,none,ip,none,3,spike,1,4,2,0.64475,0.03183682354339602,0.612,0.681,0.9257500000000001,0.015924300089276533,0.908,0.942,1.785,0.402818404081376,1.43,2.31,0.29,0.10850192010589796,0.166,0.428,29.2165,2.1073298270560303,27.095,31.273,0.0,0.0,0.0,0.0,2.7731,0.652733135873051,2.2874,3.696,1.286025,0.15917674400908355,1.1588,1.5187
exp_00004_nlow_pconstant_mnone_idip_c3_fnone_it4,2026-03-22T09:49:23+05:30,low,constant,none,ip,none,3,none,4,4,2,0.666,0.015055453054181633,0.648,0.684,1.023,0.3713677422717272,0.813,1.579,1.9932500000000002,1.778297758157128,0.956,4.655,0.27725,0.24256597040805208,0.098,0.63,29.79475,1.8799358809987814,27.041,31.144,0.0,0.0,0.0,0.0,2.959275,2.5709386371193954,1.4269,6.8056,1.5358,1.4993150302721574,0.6285,3.7723
exp_00005_nlow_pconstant_mnone_idip_c3_fnone_it5,2026-03-22T09:49:56+05:30,low,constant,none,ip,none,3,none,5,4,2,0.69775,0.036591210237797066,0.654,0.734,1.17775,0.4163351014107106,0.812,1.612,2.187,1.275251609160587,1.033,3.585,0.33699999999999997,0.22307846153315652,0.118,0.574,26.534,4.0580672739618295,22.067,30.633,0.0,0.0,0.0,0.0,3.0753,1.6861598737960761,1.5795,4.9723,1.5957750000000002,0.9051619905666979,0.6792,2.3898
exp_00005_nlow_pconstant_mtc_idip_c3_fnone_it1,2026-03-22T11:19:14+05:30,low,constant,tc,ip,none,3,none,1,4,2,0.648,0.03891015291668747,0.603,0.682,0.8089999999999999,0.05104899607240087,0.737,0.852,1.163,0.07284229540589719,1.093,1.255,0.11975,0.019805302320338357,0.103,0.148,31.37125,1.7712628969184667,29.309,33.442,0.0,0.0,0.0,0.0,1.799125,0.1492218789811556,1.6465,1.9984,0.851725,0.09565703929490325,0.735,0.9611
exp_00006_nlow_pconstant_mnone_idip_c3_fspike_it1,2026-03-22T09:50:31+05:30,low,constant,none,ip,none,3,spike,1,4,2,0.6585000000000001,0.007767453465154036,0.65,0.668,0.911,0.08328265125462803,0.853,1.033,1.595,0.46539087514332145,1.088,2.105,0.20125,0.06433441277160044,0.115,0.257,28.15675,0.9124609124048367,26.854,28.916,0.0,0.0,0.0,0.0,2.417,0.6802224881120391,1.6611,3.1512,1.1802000000000001,0.40957207749878,0.7153,1.7058
