noise_level,traffic_pattern,isolation_method,identity_mode,containers,runs,avg_p99_ms,stddev_p99_ms,ci95_p99_ms
high,bursty,adaptive,cgroup,3,4,8.4387,1.0913,1.0695
high,bursty,adaptive,ip,3,4,9.3987,0.7070,0.6928
high,bursty,ebpf,ip,3,8,8.0306,0.9104,0.6309
high,bursty,none,ip,3,8,8.1325,1.1257,0.7801
high,bursty,tc,ip,3,8,8.1906,1.0861,0.7526
high,constant,adaptive,cgroup,3,4,10.4670,2.0026,1.9625
high,constant,adaptive,ip,3,4,11.7123,3.0442,2.9833
high,constant,ebpf,ip,3,8,10.4235,1.4954,1.0363
high,constant,none,ip,3,8,10.7681,0.7347,0.5091
high,constant,tc,ip,3,8,10.7136,1.1578,0.8023
high,delayed_start,adaptive,cgroup,3,4,10.7995,1.0905,1.0687
high,delayed_start,adaptive,ip,3,4,11.4637,1.6896,1.6558
high,delayed_start,ebpf,ip,3,8,10.3945,1.7735,1.2289
high,delayed_start,none,ip,3,8,10.6055,1.6894,1.1707
high,delayed_start,tc,ip,3,8,10.6369,2.7309,1.8924
high,intermittent,adaptive,cgroup,3,4,8.7583,0.9965,0.9766
high,intermittent,adaptive,ip,3,4,9.7510,0.4837,0.4740
high,intermittent,ebpf,ip,3,8,9.6815,1.3224,0.9164
high,intermittent,none,ip,3,8,9.0455,1.1037,0.7648
high,intermittent,tc,ip,3,8,8.0820,0.7822,0.5420
low,bursty,adaptive,cgroup,3,4,2.3615,0.9636,0.9444
low,bursty,adaptive,ip,3,4,2.7835,1.4118,1.3835
low,bursty,ebpf,ip,3,8,4.2104,3.6573,2.5344
low,bursty,none,ip,3,8,2.8801,0.8471,0.5870
low,bursty,tc,ip,3,8,4.0174,2.0893,1.4478
low,constant,adaptive,cgroup,3,4,1.1993,0.2085,0.2043
low,constant,adaptive,ip,3,4,1.4670,0.8044,0.7883
low,constant,ebpf,ip,3,16,1.6174,0.6137,0.3007
low,constant,none,ip,10,135,3.6122,2.9416,0.4962
low,constant,none,ip,3,98,2.3876,1.8091,0.3582
low,constant,none,ip,5,72,3.0382,2.8171,0.6507
low,constant,tc,ip,3,16,1.5555,0.6001,0.2940
low,delayed_start,adaptive,cgroup,3,4,1.3217,0.3936,0.3857
low,delayed_start,adaptive,ip,3,4,1.3658,0.1222,0.1197
low,delayed_start,ebpf,ip,3,8,1.3906,0.3596,0.2492
low,delayed_start,none,ip,3,8,1.1124,0.1474,0.1021
low,delayed_start,tc,ip,3,8,1.3882,0.3072,0.2129
low,intermittent,adaptive,cgroup,3,4,1.0902,0.0911,0.0893
low,intermittent,adaptive,ip,3,4,1.3030,0.0930,0.0912
low,intermittent,ebpf,ip,3,8,1.2985,0.3811,0.2641
low,intermittent,none,ip,3,8,1.1418,0.1840,0.1275
low,intermittent,tc,ip,3,8,1.1631,0.1212,0.0840
medium,bursty,adaptive,cgroup,3,4,4.3325,1.7766,1.7411
medium,bursty,adaptive,ip,3,4,4.8277,0.7626,0.7473
medium,bursty,ebpf,ip,3,8,4.3312,0.4649,0.3221
medium,bursty,none,ip,3,8,4.3064,0.9491,0.6577
medium,bursty,tc,ip,3,8,4.3369,0.9973,0.6911
medium,constant,adaptive,cgroup,3,4,4.3438,0.5540,0.5429
medium,constant,adaptive,ip,3,4,5.5178,0.8250,0.8085
medium,constant,ebpf,ip,3,8,4.8624,1.2579,0.8717
medium,constant,none,ip,3,8,5.9079,2.3397,1.6213
medium,constant,tc,ip,3,8,5.1860,1.5947,1.1051
medium,delayed_start,adaptive,cgroup,3,4,4.6292,0.5914,0.5796
medium,delayed_start,adaptive,ip,3,4,5.7725,0.8276,0.8111
medium,delayed_start,ebpf,ip,3,8,5.0219,1.0266,0.7114
medium,delayed_start,none,ip,3,8,4.9618,0.6839,0.4739
medium,delayed_start,tc,ip,3,8,4.5477,1.0450,0.7241
medium,intermittent,adaptive,cgroup,3,4,3.6485,0.9029,0.8848
medium,intermittent,adaptive,ip,3,4,4.6205,0.6143,0.6020
medium,intermittent,ebpf,ip,3,8,3.8309,0.9404,0.6517
medium,intermittent,none,ip,3,8,3.9041,1.0969,0.7601
medium,intermittent,tc,ip,3,8,3.8476,0.8055,0.5582
