isolation_method,noise_level,samples,unique_experiments,unique_tenants,p50_ms_mean,p50_ms_std,p50_ms_min,p50_ms_max,p95_ms_mean,p95_ms_std,p95_ms_min,p95_ms_max,p99_ms_mean,p99_ms_std,p99_ms_min,p99_ms_max,jitter_ms_mean,jitter_ms_std,jitter_ms_min,jitter_ms_max,throughput_rps_mean,throughput_rps_std,throughput_rps_min,throughput_rps_max,packet_drops_mean,packet_drops_std,packet_drops_min,packet_drops_max,tail_amplification_mean,tail_amplification_std,tail_amplification_min,tail_amplification_max,isolation_score_mean,isolation_score_std,isolation_score_min,isolation_score_max
adaptive,high,32,16,2,0.879625,0.09779331397424117,0.781,1.136,6.55959375,0.8604068002376324,5.719,9.017,10.09865625,1.8116435348542033,6.865,15.122,2.3545,0.3829542211333764,1.736,3.094,16.84296875,1.1137494791099756,15.344,19.613,0.0,0.0,0.0,0.0,11.475590625,1.5338724860488442,8.5231,15.3785,7.42466875,1.6179225465806053,4.9665,10.8687
adaptive,low,32,16,2,0.66321875,0.01996728675415317,0.621,0.697,0.963375,0.30564017954915335,0.775,2.318,1.6115,0.8414551528118112,0.967,4.163,0.30371875,0.21571190978755334,0.098,0.827,29.8486875,1.8355004668236063,26.443,33.624,0.0,0.0,0.0,0.0,2.416875,1.2111705572336529,1.4652,5.9727,1.182528125,0.6351629728555448,0.6627,3.1086
adaptive,medium,32,16,2,0.73175,0.018813173147318035,0.706,0.787,2.52365625,1.0448363233254874,1.217,4.465,4.7115625,1.0428079629445899,2.798,6.923,0.8938125,0.28163422142456224,0.373,1.359,22.60290625,2.0539089931683296,18.641,25.825,0.0,0.0,0.0,0.0,6.4252125,1.3436066364033399,3.8807,9.5096,3.475259375,0.9085134127791382,1.8396,5.6102
ebpf,high,32,16,2,0.8665625,0.08595870632779663,0.776,1.081,6.5405625,0.7820523840840925,5.223,8.88,9.63253125,1.6647358016557812,6.911,13.345,2.27984375,0.36151742111014373,1.676,3.03,17.0300625,1.1027238398327497,15.764,19.61,0.0,0.0,0.0,0.0,11.0932125,1.4011960609168983,8.5851,14.388,7.08974375,1.5753054634531944,4.5437,10.8144
ebpf,low,40,16,2,0.668725,0.022234170399035195,0.615,0.712,0.978225,0.2676981161873509,0.766,1.818,2.026875,1.9579304509203144,0.897,12.2,0.415875,0.39704731924286896,0.079,1.782,29.079675,2.32154996177123,23.457,31.887,0.0,0.0,0.0,0.0,3.014395,2.90239891177131,1.3309,18.2909,1.5101975,1.5883118348943273,0.5897,9.8865
ebpf,medium,32,16,2,0.72553125,0.01666943189426142,0.704,0.763,2.50146875,1.0704989486178562,1.207,4.683,4.51159375,1.0347536985842916,2.492,7.159,0.88459375,0.3187579584711724,0.394,1.575,22.76375,1.9442930550385062,19.412,25.796,0.0,0.0,0.0,0.0,6.199834375,1.3204564994140315,3.4708,9.5073,3.327290625,0.8915521841182648,1.6384,5.8015
none,high,32,16,2,0.85028125,0.07714763156735022,0.779,1.113,6.62771875,0.7199271125461468,5.819,8.679,9.63790625,1.604429641585566,6.817,12.522,2.26403125,0.28808270366897387,1.759,2.876,16.92765625,0.9003274533110072,15.53,19.35,0.0,0.0,0.0,0.0,11.317221875,1.4862472046658375,8.3756,14.1652,7.06639375,1.3663435160422306,4.4819,10.1467
none,low,329,71,9,0.6863768996960486,0.0373176568601184,0.589,0.798,1.2636413373860182,0.6683175263981103,0.721,5.725,2.983142857142857,2.583621606297953,0.902,14.662,3.683586626139818,12.183691245980487,0.078,54.515,26.219483282674773,3.776077658389614,15.213,35.37,0.0,0.0,0.0,0.0,4.215856838905775,3.3809392354495476,1.4113,18.4893,1.9540066869300912,1.7778276400767883,0.3311,9.6694
none,medium,32,16,2,0.7237812499999999,0.018968113098464214,0.7,0.765,2.41121875,1.0229388634453058,1.122,4.398,4.77003125,1.5522165313777128,2.235,10.095,0.8545,0.3386632164755251,0.327,1.729,22.72871875,2.1482335614350236,17.957,26.255,0.0,0.0,0.0,0.0,6.5549125,1.966855136727402,3.1435,13.1961,3.4999625,1.14713383215341,1.4694,6.6371
tc,high,32,16,2,0.85859375,0.10230752483124968,0.775,1.154,6.3355625,0.8202712744633188,5.094,8.656,9.40578125,2.0142205365748005,6.721,15.304,2.13328125,0.3685339074324361,1.609,3.123,17.53503125,1.354959813339912,15.773,20.478,0.0,0.0,0.0,0.0,10.90825625,1.609015301945622,8.3595,15.6803,6.90821875,1.6913013925029026,4.4188,12.4019
tc,low,40,16,2,0.66,0.02231476457300677,0.603,0.695,0.9971,0.3203036860263261,0.737,2.055,1.93595,1.440019995409608,0.939,7.331,0.3298,0.30267221840610314,0.081,1.207,29.202425,2.562454071008033,22.483,33.442,0.0,0.0,0.0,0.0,2.90923,2.0744176626409936,1.4227,10.5634,1.416915,1.0164800245366612,0.6174,4.8199
tc,medium,32,16,2,0.72109375,0.017959379569353992,0.697,0.765,2.48634375,0.9022325931918787,1.374,4.331,4.4795625,1.1959274154665558,2.662,8.404,0.82125,0.2590980633883876,0.392,1.506,22.87115625,2.02354283867668,19.19,25.77,0.0,0.0,0.0,0.0,6.1950625,1.560320502797939,3.744,11.0289,3.315715625,1.0556213892726498,1.7502,6.8104
