timestamp,experiment,noise_level,traffic_pattern,isolation_method,identity_mode,ebpf_enabled,strategy,containers,iteration,failure_mode,tenant,requests,failures,p50_ms,p95_ms,p99_ms,jitter_ms,variance_ms2,throughput_rps,packet_drops,tail_amplification,recovery_window_samples,degradation_window_samples,isolation_score
2026-03-22T13:31:51+05:30,exp_00166_nhigh_pdelayed_start_mtc_idip_c3_fspike_it1,high,delayed_start,tc,ip,false,none,3,1,spike,tenant2,400,0,0.976,6.679,15.304,2.715,7.370,16.100,0,15.6803,12,1,12.4019
2026-03-22T13:10:21+05:30,exp_00142_nhigh_pconstant_madaptive_idip_c3_fspike_it1,high,constant,adaptive,ip,true,adaptive,3,1,spike,tenant1,400,0,1.021,8.461,15.122,3.094,9.573,15.440,0,14.8110,1,2,9.9421
2026-03-22T10:23:10+05:30,exp_00025_nlow_pconstant_mnone_idip_c5_fspike_it5,low,constant,none,ip,false,none,5,5,spike,tenant4,400,0,0.793,5.210,14.662,2.807,7.878,15.355,0,18.4893,169,2,8.4850
2026-03-22T13:10:21+05:30,exp_00142_nhigh_pconstant_madaptive_idip_c3_fspike_it1,high,constant,adaptive,ip,true,adaptive,3,1,spike,tenant2,400,0,1.136,7.911,13.412,3.062,9.375,15.885,0,11.8063,0,2,10.8687
2026-03-22T13:08:22+05:30,exp_00140_nhigh_pconstant_mebpf_idcgroup_c3_fspike_it1,high,constant,ebpf,ip,true,rate_limit,3,1,spike,tenant2,400,0,1.081,8.880,13.345,2.901,8.413,16.013,0,12.3451,9,2,10.8144
2026-03-22T13:12:15+05:30,exp_00144_nhigh_pconstant_madaptive_idcgroup_c3_fspike_it1,high,constant,adaptive,cgroup,true,adaptive,3,1,spike,tenant2,400,0,0.864,8.212,13.287,2.875,8.264,16.007,0,15.3785,0,1,10.7674
2026-03-22T13:35:38+05:30,exp_00170_nhigh_pdelayed_start_mebpf_idip_c3_fspike_it1,high,delayed_start,ebpf,ip,true,rate_limit,3,1,spike,tenant2,400,0,0.915,8.193,13.165,3.026,9.158,15.917,0,14.3880,9,2,10.6686
2026-03-22T10:44:47+05:30,exp_00036_nlow_pconstant_mnone_idip_c10_fspike_it1,low,constant,none,ip,false,none,10,1,spike,tenant7,400,0,0.788,5.725,13.116,2.324,5.402,15.213,0,16.6447,91,2,6.9250
2026-03-22T13:39:26+05:30,exp_00174_nhigh_pdelayed_start_madaptive_idip_c3_fspike_it1,high,delayed_start,adaptive,ip,true,adaptive,3,1,spike,tenant1,400,0,0.959,6.266,13.072,2.711,7.351,15.344,0,13.6309,30,2,8.5943
2026-03-22T13:31:51+05:30,exp_00166_nhigh_pdelayed_start_mtc_idip_c3_fspike_it1,high,delayed_start,tc,ip,false,none,3,1,spike,tenant1,400,0,1.043,6.692,12.823,2.523,6.367,16.346,0,12.2943,12,1,8.4306
2026-03-22T13:02:44+05:30,exp_00134_nhigh_pconstant_mtc_idip_c3_fspike_it1,high,constant,tc,ip,false,none,3,1,spike,tenant1,400,0,1.154,8.248,12.688,3.123,9.750,15.773,0,10.9948,23,2,8.3419
