timestamp,experiment,tenant,noise_level,traffic_pattern,isolation_method,identity_mode,strategy,containers,failure_mode,p50_ms,p95_ms,p99_ms,jitter_ms,throughput_rps,tail_amplification,isolation_score
2026-03-22T13:31:51+05:30,exp_00166_nhigh_pdelayed_start_mtc_idip_c3_fspike_it1,tenant2,high,delayed_start,tc,ip,none,3,spike,0.976,6.679,15.304,2.715,16.100,15.6803,12.4019
2026-03-22T13:10:21+05:30,exp_00142_nhigh_pconstant_madaptive_idip_c3_fspike_it1,tenant1,high,constant,adaptive,ip,adaptive,3,spike,1.021,8.461,15.122,3.094,15.440,14.8110,9.9421
2026-03-22T10:23:10+05:30,exp_00025_nlow_pconstant_mnone_idip_c5_fspike_it5,tenant4,low,constant,none,ip,none,5,spike,0.793,5.210,14.662,2.807,15.355,18.4893,8.4850
2026-03-22T13:10:21+05:30,exp_00142_nhigh_pconstant_madaptive_idip_c3_fspike_it1,tenant2,high,constant,adaptive,ip,adaptive,3,spike,1.136,7.911,13.412,3.062,15.885,11.8063,10.8687
2026-03-22T13:08:22+05:30,exp_00140_nhigh_pconstant_mebpf_idcgroup_c3_fspike_it1,tenant2,high,constant,ebpf,ip,rate_limit,3,spike,1.081,8.880,13.345,2.901,16.013,12.3451,10.8144
2026-03-22T13:12:15+05:30,exp_00144_nhigh_pconstant_madaptive_idcgroup_c3_fspike_it1,tenant2,high,constant,adaptive,cgroup,adaptive,3,spike,0.864,8.212,13.287,2.875,16.007,15.3785,10.7674
2026-03-22T13:35:38+05:30,exp_00170_nhigh_pdelayed_start_mebpf_idip_c3_fspike_it1,tenant2,high,delayed_start,ebpf,ip,rate_limit,3,spike,0.915,8.193,13.165,3.026,15.917,14.3880,10.6686
2026-03-22T10:44:47+05:30,exp_00036_nlow_pconstant_mnone_idip_c10_fspike_it1,tenant7,low,constant,none,ip,none,10,spike,0.788,5.725,13.116,2.324,15.213,16.6447,6.9250
2026-03-22T13:39:26+05:30,exp_00174_nhigh_pdelayed_start_madaptive_idip_c3_fspike_it1,tenant1,high,delayed_start,adaptive,ip,adaptive,3,spike,0.959,6.266,13.072,2.711,15.344,13.6309,8.5943
2026-03-22T13:31:51+05:30,exp_00166_nhigh_pdelayed_start_mtc_idip_c3_fspike_it1,tenant1,high,delayed_start,tc,ip,none,3,spike,1.043,6.692,12.823,2.523,16.346,12.2943,8.4306
2026-03-22T13:02:44+05:30,exp_00134_nhigh_pconstant_mtc_idip_c3_fspike_it1,tenant1,high,constant,tc,ip,none,3,spike,1.154,8.248,12.688,3.123,15.773,10.9948,8.3419
2026-03-22T13:28:06+05:30,exp_00162_nhigh_pdelayed_start_mnone_idip_c3_fspike_it1,tenant1,high,delayed_start,none,ip,none,3,spike,0.884,7.430,12.522,2.591,15.530,14.1652,8.2327
2026-03-22T13:29:59+05:30,exp_00164_nhigh_pdelayed_start_mnone_idcgroup_c3_fspike_it1,tenant2,high,delayed_start,none,ip,none,3,spike,0.954,8.679,12.521,2.876,16.023,13.1247,10.1467
2026-03-22T10:39:18+05:30,exp_00034_nlow_pconstant_mnone_idip_c10_fnone_it4,tenant9,low,constant,none,ip,none,10,none,0.767,4.954,12.447,2.251,17.227,16.2282,9.1996
2026-03-22T13:41:18+05:30,exp_00176_nhigh_pdelayed_start_madaptive_idcgroup_c3_fspike_it1,tenant2,high,delayed_start,adaptive,cgroup,adaptive,3,spike,0.971,8.120,12.240,2.984,16.682,12.6056,9.9190
2026-03-22T13:37:30+05:30,exp_00172_nhigh_pdelayed_start_mebpf_idcgroup_c3_fspike_it1,tenant1,high,delayed_start,ebpf,ip,rate_limit,3,spike,1.003,7.480,12.216,2.644,15.928,12.1795,8.0316
2026-03-22T11:50:06+05:30,exp_00026_nlow_pbursty_mebpf_idip_c3_fspike_it1,tenant2,low,bursty,ebpf,ip,rate_limit,3,spike,0.667,1.818,12.200,1.603,23.457,18.2909,9.8865
2026-03-22T10:44:47+05:30,exp_00036_nlow_pconstant_mnone_idip_c10_fspike_it1,tenant8,low,constant,none,ip,none,10,spike,0.730,3.402,12.177,1.591,18.289,16.6808,9.3096
2026-03-22T13:06:29+05:30,exp_00138_nhigh_pconstant_mebpf_idip_c3_fspike_it1,tenant2,high,constant,ebpf,ip,rate_limit,3,spike,1.048,7.522,11.960,2.715,15.855,11.4122,9.6921
2026-03-22T10:33:26+05:30,exp_00032_nlow_pconstant_mnone_idip_c10_fnone_it2,tenant8,low,constant,none,ip,none,10,none,0.793,2.389,11.955,3.193,16.297,15.0757,9.1399
2026-03-22T13:38:27+05:30,exp_00173_nhigh_pdelayed_start_madaptive_idip_c3_fnone_it1,tenant2,high,delayed_start,adaptive,ip,adaptive,3,none,0.917,6.260,11.941,2.455,16.099,13.0218,9.6767
2026-03-22T10:20:20+05:30,exp_00023_nlow_pconstant_mnone_idip_c5_fspike_it3,tenant2,low,constant,none,ip,none,5,spike,0.753,3.630,11.932,1.664,18.736,15.8459,9.6694
2026-03-22T13:33:44+05:30,exp_00168_nhigh_pdelayed_start_mtc_idcgroup_c3_fspike_it1,tenant1,high,delayed_start,tc,ip,none,3,spike,0.849,6.922,11.921,2.396,16.145,14.0412,7.8376
2026-03-22T10:47:57+05:30,exp_00037_nlow_pconstant_mnone_idip_c10_fspike_it2,tenant6,low,constant,none,ip,none,10,spike,0.748,2.923,11.877,2.221,18.444,15.8783,6.6575
2026-03-22T13:29:59+05:30,exp_00164_nhigh_pdelayed_start_mnone_idcgroup_c3_fspike_it1,tenant1,high,delayed_start,none,ip,none,3,spike,0.854,7.731,11.771,2.775,16.041,13.7834,7.7390
2026-03-22T13:39:26+05:30,exp_00174_nhigh_pdelayed_start_madaptive_idip_c3_fspike_it1,tenant2,high,delayed_start,adaptive,ip,adaptive,3,spike,1.120,9.017,11.758,2.876,15.725,10.4982,9.5284
2026-03-22T13:00:51+05:30,exp_00132_nhigh_pconstant_mnone_idcgroup_c3_fspike_it1,tenant1,high,constant,none,ip,none,3,spike,0.924,7.695,11.739,2.645,16.518,12.7045,7.7179
2026-03-22T10:17:34+05:30,exp_00021_nlow_pconstant_mnone_idip_c5_fspike_it1,tenant1,low,constant,none,ip,none,5,spike,0.733,3.402,11.731,1.887,20.085,16.0041,7.7127
2026-03-22T13:28:07+05:30,exp_00162_nhigh_pdelayed_start_mnone_idip_c3_fspike_it1,tenant2,high,delayed_start,none,ip,none,3,spike,1.113,7.331,11.677,2.583,15.947,10.4915,9.4627
2026-03-22T13:00:51+05:30,exp_00132_nhigh_pconstant_mnone_idcgroup_c3_fspike_it1,tenant2,high,constant,none,ip,none,3,spike,0.877,7.082,11.627,2.552,16.015,13.2577,9.4222
2026-03-22T10:44:47+05:30,exp_00036_nlow_pconstant_mnone_idip_c10_fspike_it1,tenant9,low,constant,none,ip,none,10,spike,0.721,1.748,11.533,1.930,19.874,15.9958,8.5240
2026-03-22T13:33:45+05:30,exp_00168_nhigh_pdelayed_start_mtc_idcgroup_c3_fspike_it1,tenant2,high,delayed_start,tc,ip,none,3,spike,0.907,8.656,11.521,2.718,16.222,12.7023,9.3363
2026-03-22T13:04:35+05:30,exp_00136_nhigh_pconstant_mtc_idcgroup_c3_fspike_it1,tenant1,high,constant,tc,ip,none,3,spike,1.036,6.996,11.487,2.473,16.082,11.0878,7.5523
2026-03-22T13:02:44+05:30,exp_00134_nhigh_pconstant_mtc_idip_c3_fspike_it1,tenant2,high,constant,tc,ip,none,3,spike,0.982,7.247,11.345,2.511,16.228,11.5530,9.1937
2026-03-22T13:50:47+05:30,exp_00187_nhigh_pintermittent_mebpf_idcgroup_c3_fnone_it1,tenant1,high,intermittent,ebpf,ip,rate_limit,3,none,0.886,6.709,11.333,2.504,15.971,12.7912,7.4510
2026-03-22T13:51:39+05:30,exp_00188_nhigh_pintermittent_mebpf_idcgroup_c3_fspike_it1,tenant2,high,intermittent,ebpf,ip,rate_limit,3,spike,0.804,7.084,11.175,2.581,17.006,13.8993,9.0559
2026-03-22T10:36:11+05:30,exp_00033_nlow_pconstant_mnone_idip_c10_fnone_it3,tenant9,low,constant,none,ip,none,10,none,0.713,1.872,11.056,1.386,20.504,15.5063,8.1715
2026-03-22T10:51:05+05:30,exp_00038_nlow_pconstant_mnone_idip_c10_fspike_it3,tenant3,low,constant,none,ip,none,10,spike,0.744,3.634,11.017,1.703,19.928,14.8078,3.8440
2026-03-22T10:47:57+05:30,exp_00037_nlow_pconstant_mnone_idip_c10_fspike_it2,tenant7,low,constant,none,ip,none,10,spike,0.741,2.374,10.955,2.153,19.103,14.7841,5.7841
2026-03-22T13:35:37+05:30,exp_00170_nhigh_pdelayed_start_mebpf_idip_c3_fspike_it1,tenant1,high,delayed_start,ebpf,ip,rate_limit,3,spike,1.004,7.486,10.954,2.498,16.502,10.9104,7.2018
2026-03-22T12:58:59+05:30,exp_00130_nhigh_pconstant_mnone_idip_c3_fspike_it1,tenant1,high,constant,none,ip,none,3,spike,0.919,7.947,10.930,2.635,16.237,11.8934,7.1861
2026-03-22T12:58:02+05:30,exp_00129_nhigh_pconstant_mnone_idip_c3_fnone_it1,tenant1,high,constant,none,ip,none,3,none,0.980,7.463,10.923,2.534,16.511,11.1459,7.1815
2026-03-22T13:49:53+05:30,exp_00186_nhigh_pintermittent_mebpf_idip_c3_fspike_it1,tenant2,high,intermittent,ebpf,ip,rate_limit,3,spike,0.822,6.385,10.912,2.537,16.380,13.2749,8.8428
2026-03-22T11:12:01+05:30,exp_00050_nlow_pconstant_mnone_idcgroup_c3_fnone_it5,tenant1,low,constant,none,ip,none,3,none,0.719,2.092,10.907,2.595,21.944,15.1697,7.1709
2026-03-22T13:04:35+05:30,exp_00136_nhigh_pconstant_mtc_idcgroup_c3_fspike_it1,tenant2,high,constant,tc,ip,none,3,spike,0.847,6.966,10.866,2.392,16.706,12.8288,8.8055
2026-03-22T13:41:18+05:30,exp_00176_nhigh_pdelayed_start_madaptive_idcgroup_c3_fspike_it1,tenant1,high,delayed_start,adaptive,cgroup,adaptive,3,spike,1.005,7.188,10.770,2.384,16.453,10.7164,7.0809
2026-03-22T13:03:39+05:30,exp_00135_nhigh_pconstant_mtc_idcgroup_c3_fnone_it1,tenant2,high,constant,tc,ip,none,3,none,0.901,7.418,10.733,2.541,16.603,11.9123,8.6977
2026-03-22T12:58:59+05:30,exp_00130_nhigh_pconstant_mnone_idip_c3_fspike_it1,tenant2,high,constant,none,ip,none,3,spike,0.996,7.150,10.718,2.515,15.962,10.7610,8.6856
2026-03-22T10:21:45+05:30,exp_00024_nlow_pconstant_mnone_idip_c5_fspike_it4,tenant1,low,constant,none,ip,none,5,spike,0.793,2.395,10.681,1.605,18.419,13.4691,7.0224
2026-03-22T10:44:46+05:30,exp_00036_nlow_pconstant_mnone_idip_c10_fspike_it1,tenant2,low,constant,none,ip,none,10,spike,0.777,2.572,10.665,1.472,20.857,13.7259,8.6426
2026-03-22T13:40:22+05:30,exp_00175_nhigh_pdelayed_start_madaptive_idcgroup_c3_fnone_it1,tenant2,high,delayed_start,adaptive,cgroup,adaptive,3,none,0.853,6.705,10.592,2.486,15.909,12.4174,8.5835
2026-03-22T13:37:30+05:30,exp_00172_nhigh_pdelayed_start_mebpf_idcgroup_c3_fspike_it1,tenant2,high,delayed_start,ebpf,ip,rate_limit,3,spike,0.861,6.901,10.585,2.394,15.939,12.2938,8.5778
2026-03-22T13:05:32+05:30,exp_00137_nhigh_pconstant_mebpf_idip_c3_fnone_it1,tenant2,high,constant,ebpf,ip,rate_limit,3,none,1.016,7.155,10.576,2.531,16.263,10.4094,8.5705
2026-03-22T13:34:40+05:30,exp_00169_nhigh_pdelayed_start_mebpf_idip_c3_fnone_it1,tenant2,high,delayed_start,ebpf,ip,rate_limit,3,none,0.899,6.592,10.563,2.348,16.342,11.7497,8.5600
2026-03-22T12:58:02+05:30,exp_00129_nhigh_pconstant_mnone_idip_c3_fnone_it1,tenant2,high,constant,none,ip,none,3,none,0.803,6.497,10.452,2.460,16.471,13.0162,8.4700
2026-03-22T13:43:05+05:30,exp_00178_nhigh_pintermittent_mnone_idip_c3_fspike_it1,tenant2,high,intermittent,none,ip,none,3,spike,0.812,6.621,10.387,2.284,17.153,12.7919,8.4173
2026-03-22T13:53:30+05:30,exp_00190_nhigh_pintermittent_madaptive_idip_c3_fspike_it1,tenant2,high,intermittent,adaptive,ip,adaptive,3,spike,0.791,6.554,10.365,2.359,17.444,13.1037,8.3995
2026-03-22T13:11:17+05:30,exp_00143_nhigh_pconstant_madaptive_idcgroup_c3_fnone_it1,tenant2,high,constant,adaptive,cgroup,adaptive,3,none,0.850,6.625,10.357,2.757,16.087,12.1847,8.3930
2026-03-22T12:59:54+05:30,exp_00131_nhigh_pconstant_mnone_idcgroup_c3_fnone_it1,tenant1,high,constant,none,ip,none,3,none,0.815,6.528,10.303,2.232,16.316,12.6417,6.7738
2026-03-22T13:23:37+05:30,exp_00157_nhigh_pbursty_madaptive_idip_c3_fnone_it1,tenant2,high,bursty,adaptive,ip,adaptive,3,none,0.838,6.330,10.263,2.369,16.392,12.2470,8.3169
2026-03-22T10:39:17+05:30,exp_00034_nlow_pconstant_mnone_idip_c10_fnone_it4,tenant3,low,constant,none,ip,none,10,none,0.748,2.189,10.176,2.662,20.326,13.6043,3.5506
2026-03-22T13:44:50+05:30,exp_00180_nhigh_pintermittent_mnone_idcgroup_c3_fspike_it1,tenant2,high,intermittent,none,ip,none,3,spike,0.796,6.038,10.138,2.264,17.590,12.7362,8.2156
2026-03-22T12:13:08+05:30,exp_00066_nmedium_pconstant_mnone_idip_c3_fspike_it1,tenant1,medium,constant,none,ip,none,3,spike,0.765,4.398,10.095,1.729,17.957,13.1961,6.6371
2026-03-22T13:03:39+05:30,exp_00135_nhigh_pconstant_mtc_idcgroup_c3_fnone_it1,tenant1,high,constant,tc,ip,none,3,none,1.076,6.678,9.947,2.324,16.425,9.2444,6.5398
