mode,attacker_rate,victim_rows,p50_ms_median,p95_ms_median,p99_ms_median,p999_ms_median,actual_qps_mean
baseline,0,2,1.5,2.212,2.483,2.762,
baseline,15000,2,1.346,2.076,2.367,2.73,
baseline,25000,2,1.264,1.997,2.3,2.709,
baseline,35000,3,1.296,2.021,2.331,2.645,
baseline,45000,4,1.297,2.001,2.289,2.542,
isolated,0,5,1.365,2.133,2.359,2.657,
isolated,15000,1,1.367,2.077,2.441,3.615,
isolated,25000,5,1.297,2.004,2.283,2.527,
isolated,35000,2,1.211,1.971,2.367,3.068,
isolated,45000,5,1.298,2.022,2.293,2.549,
shared,0,2,1.377,2.174,2.502,2.82,
shared,15000,4,1.3095,2.02,2.312,2.603,
shared,25000,5,1.306,1.998,2.283,2.553,
shared,35000,1,1.393,2.093,2.389,2.673,
shared,45000,3,1.327,2.059,2.339,2.653,
