mode,victim_count,attacker_rate,sample_count,p50_ms,p95_ms,p99_ms,p999_ms
baseline,1,0,1,3.861,16.095,18.943,23.695
baseline,1,10000,1,1.34,2.085,2.409,2.893
baseline,1,20000,1,1.428,2.481,9.015,13.687
baseline,1,25000,1,5.155,15.503,17.215,18.975
baseline,1,27500,1,1.357,2.109,5.711,13.535
baseline,1,30000,1,4.679,16.703,17.919,19.311
baseline,1,32500,1,4.487,15.743,17.167,18.687
baseline,1,35000,1,4.923,16.231,17.823,19.071
baseline,1,37500,1,1.226,1.965,2.261,2.853
baseline,1,40000,1,1.249,2.205,8.559,13.967
baseline,1,42500,1,4.787,16.351,17.615,18.655
baseline,1,45000,1,4.339,15.783,17.279,18.543
isolated,1,10000,1,1.468,2.159,2.451,2.759
isolated,1,20000,1,4.867,16.223,17.407,18.719
isolated,1,25000,1,1.242,2.038,2.375,2.675
isolated,1,27500,1,1.433,2.153,2.441,2.701
isolated,1,30000,1,1.373,2.215,2.553,2.797
isolated,1,32500,1,1.453,2.191,2.461,2.719
isolated,1,35000,2,2.692,8.159,9.707,11.332
isolated,1,37500,2,3.312,9.476,10.307,11.011
isolated,1,40000,2,4.068,15.603,16.871,18.079
isolated,1,42500,2,1.3965,2.247,2.865,7.477
isolated,1,45000,2,3.718,8.854,9.601,10.328
shared,1,0,2,3.2085,9.55,10.547,12.426
shared,1,10000,2,2.7465,9.397,13.215,17.051
shared,1,20000,2,2.9325,8.868,9.781,10.546
shared,1,27500,1,1.44,2.167,2.425,2.703
shared,1,30000,1,4.851,16.335,17.455,18.415
shared,1,32500,1,1.431,2.181,2.465,2.741
shared,1,35000,1,1.422,2.157,2.459,2.699
shared,1,37500,1,4.615,15.263,16.575,17.423
shared,1,40000,1,1.428,2.169,2.457,2.693
shared,1,42500,1,1.456,2.195,2.507,2.759
shared,1,45000,1,4.463,16.431,17.711,18.863
baseline,3,0,3,1.514,2.267,2.521,2.773
baseline,3,10000,3,1.344,2.065,2.361,2.595
baseline,3,20000,3,3.259,13.023,14.159,15.119
baseline,3,25000,3,1.351,2.073,2.353,2.657
baseline,3,27500,3,2.653,12.719,13.847,14.847
baseline,3,30000,3,1.385,2.097,2.413,2.665
baseline,3,32500,3,1.357,2.071,2.361,2.605
baseline,3,35000,3,3.519,12.999,14.135,15.271
baseline,3,37500,3,1.358,2.113,2.417,2.701
baseline,3,40000,3,1.365,2.059,2.353,2.615
baseline,3,42500,3,1.343,2.025,2.313,2.595
baseline,3,45000,3,3.715,12.743,13.783,14.711
isolated,3,0,3,4.683,15.031,16.215,17.311
isolated,3,10000,3,1.348,2.063,2.363,2.615
isolated,3,20000,3,3.471,13.255,14.287,15.359
isolated,3,25000,3,1.352,2.103,2.401,2.743
isolated,3,27500,3,1.339,2.049,2.349,2.589
isolated,3,30000,3,3.655,12.799,13.919,14.871
isolated,3,32500,3,3.943,13.687,14.639,15.599
isolated,3,35000,3,1.327,2.044,2.359,2.629
isolated,3,37500,3,1.359,2.075,2.353,2.615
isolated,3,40000,3,1.343,2.065,2.345,2.545
isolated,3,42500,3,1.371,2.071,2.365,2.639
isolated,3,45000,3,3.657,12.727,13.799,14.999
shared,3,0,3,4.763,15.287,16.367,17.711
shared,3,10000,3,3.389,12.623,13.879,15.007
shared,3,20000,3,1.354,2.073,2.369,2.613
shared,3,25000,3,1.328,2.083,2.355,2.615
shared,3,27500,3,3.085,12.919,13.903,14.991
shared,3,30000,3,1.335,2.057,2.351,2.589
shared,3,32500,3,1.365,2.093,2.387,2.641
shared,3,35000,3,3.633,12.727,13.791,14.903
shared,3,37500,3,1.378,2.143,2.433,2.653
shared,3,40000,3,1.358,2.067,2.359,2.583
shared,3,42500,3,3.659,12.567,13.647,14.983
shared,3,45000,3,1.369,2.065,2.331,2.583
baseline,5,0,5,1.45,2.123,2.421,2.663
baseline,5,10000,5,1.326,2.083,2.391,2.697
baseline,5,20000,5,1.297,2.008,2.305,2.567
baseline,5,25000,5,1.306,2.011,2.291,2.545
baseline,5,27500,5,1.294,2.003,2.299,2.565
baseline,5,30000,5,1.362,2.065,2.353,2.657
baseline,5,32500,5,2.553,12.495,13.687,14.919
baseline,5,35000,5,1.303,2.018,2.285,2.563
baseline,5,37500,5,1.32,2.051,2.333,2.615
baseline,5,40000,5,1.305,2.021,2.311,2.577
baseline,5,42500,5,1.305,2.036,2.301,2.563
baseline,5,45000,4,2.78,14.147,15.431,16.623
isolated,5,0,5,1.291,1.997,2.329,2.635
isolated,5,10000,5,1.283,1.996,2.291,2.589
isolated,5,20000,5,1.304,2.009,2.287,2.541
isolated,5,25000,5,1.224,1.942,2.263,2.621
isolated,5,27500,5,1.302,2.017,2.301,2.547
isolated,5,30000,5,2.497,12.751,13.935,14.767
isolated,5,32500,5,2.551,13.031,14.239,15.399
isolated,5,35000,5,1.309,2.077,2.377,2.635
isolated,5,37500,5,1.284,1.985,2.293,2.575
isolated,5,40000,5,1.305,2.005,2.319,2.567
isolated,5,42500,5,1.358,2.085,2.385,2.697
isolated,5,45000,4,1.357,2.07,2.335,2.629
shared,5,0,4,1.4235,2.132,2.402,2.675
shared,5,10000,5,1.321,2.041,2.333,2.601
shared,5,20000,5,2.693,12.719,13.799,14.943
shared,5,25000,5,1.315,2.061,2.349,2.649
shared,5,27500,5,1.306,2.016,2.321,2.635
shared,5,30000,3,1.307,2.087,2.389,2.771
shared,5,32500,5,1.305,2.015,2.295,2.557
shared,5,35000,5,2.849,12.815,13.855,14.871
shared,5,37500,5,1.295,1.998,2.281,2.539
shared,5,40000,5,2.797,12.503,13.783,14.967
shared,5,42500,5,1.305,2.02,2.317,2.599
shared,5,45000,5,1.296,2.009,2.293,2.565
