Linux 5.15.0-171-generic (cloudnet-s05) 	05/19/2026 	_x86_64_	(8 CPU)

12:45:49 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:45:50 PM  all   21.07    0.00    8.38    0.00    0.00    4.06    0.00    0.00    0.00   66.49
12:45:50 PM    0   19.79    0.00    7.29    0.00    0.00    6.25    0.00    0.00    0.00   66.67
12:45:50 PM    1   19.79    0.00    9.38    0.00    0.00    4.17    0.00    0.00    0.00   66.67
12:45:50 PM    2   22.34    0.00    5.32    0.00    0.00    4.26    0.00    0.00    0.00   68.09
12:45:50 PM    3   21.65    0.00    7.22    0.00    0.00    5.15    0.00    0.00    0.00   65.98
12:45:50 PM    4   20.43    0.00    7.53    0.00    0.00    4.30    0.00    0.00    0.00   67.74
12:45:50 PM    5   19.79    0.00   13.54    0.00    0.00    4.17    0.00    0.00    0.00   62.50
12:45:50 PM    6   23.16    0.00    6.32    0.00    0.00    3.16    0.00    0.00    0.00   67.37
12:45:50 PM    7   21.65    0.00   10.31    0.00    0.00    1.03    0.00    0.00    0.00   67.01

12:45:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:45:51 PM  all   19.61    0.00    9.87    0.00    0.00    5.39    0.00    0.00    0.00   65.13
12:45:51 PM    0   22.92    0.00    7.29    0.00    0.00    5.21    0.00    0.00    0.00   64.58
12:45:51 PM    1   23.47    0.00   10.20    0.00    0.00    4.08    0.00    0.00    0.00   62.24
12:45:51 PM    2   19.35    0.00   10.75    0.00    0.00    3.23    0.00    0.00    0.00   66.67
12:45:51 PM    3   22.11    0.00    8.42    0.00    0.00    4.21    0.00    0.00    0.00   65.26
12:45:51 PM    4   14.89    0.00   11.70    0.00    0.00    6.38    0.00    0.00    0.00   67.02
12:45:51 PM    5   16.30    0.00   10.87    0.00    0.00    5.43    0.00    0.00    0.00   67.39
12:45:51 PM    6   17.89    0.00   10.53    0.00    0.00    6.32    0.00    0.00    0.00   65.26
12:45:51 PM    7   19.59    0.00    9.28    0.00    0.00    8.25    0.00    0.00    0.00   62.89

12:45:51 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:45:52 PM  all   20.16    0.00    9.95    0.13    0.00    5.37    0.00    0.00    0.00   64.40
12:45:52 PM    0   21.65    0.00   11.34    0.00    0.00    3.09    0.00    0.00    0.00   63.92
12:45:52 PM    1   20.83    0.00   10.42    0.00    0.00    6.25    0.00    0.00    0.00   62.50
12:45:52 PM    2   22.11    0.00    9.47    0.00    0.00    5.26    0.00    0.00    0.00   63.16
12:45:52 PM    3   19.79    0.00   11.46    0.00    0.00    5.21    0.00    0.00    0.00   63.54
