Linux 5.15.0-171-generic (cloudnet-s05) 	05/19/2026 	_x86_64_	(8 CPU)

12:46:54 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:55 PM  all   19.63    0.00    9.69    0.00    0.00    4.84    0.00    0.00    0.00   65.84
12:46:55 PM    0   14.74    0.00   12.63    0.00    0.00    5.26    0.00    0.00    0.00   67.37
12:46:55 PM    1   14.74    0.00   10.53    0.00    0.00    6.32    0.00    0.00    0.00   68.42
12:46:55 PM    2   18.75    0.00   10.42    0.00    0.00    4.17    0.00    0.00    0.00   66.67
12:46:55 PM    3   19.79    0.00    8.33    0.00    0.00    5.21    0.00    0.00    0.00   66.67
12:46:55 PM    4   20.62    0.00   10.31    0.00    0.00    4.12    0.00    0.00    0.00   64.95
12:46:55 PM    5   17.02    0.00   11.70    0.00    0.00    5.32    0.00    0.00    0.00   65.96
12:46:55 PM    6   28.12    0.00    5.21    0.00    0.00    5.21    0.00    0.00    0.00   61.46
12:46:55 PM    7   23.16    0.00    8.42    0.00    0.00    3.16    0.00    0.00    0.00   65.26

12:46:55 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:56 PM  all   20.55    0.00   10.66    0.00    0.00    4.42    0.00    0.00    0.00   64.37
12:46:56 PM    0   21.88    0.00   10.42    0.00    0.00    4.17    0.00    0.00    0.00   63.54
12:46:56 PM    1   19.59    0.00   11.34    0.00    0.00    4.12    0.00    0.00    0.00   64.95
12:46:56 PM    2   19.79    0.00   11.46    0.00    0.00    3.12    0.00    0.00    0.00   65.62
12:46:56 PM    3   19.79    0.00    9.38    0.00    0.00    6.25    0.00    0.00    0.00   64.58
12:46:56 PM    4   24.73    0.00    7.53    0.00    0.00    2.15    0.00    0.00    0.00   65.59
12:46:56 PM    5   17.71    0.00   11.46    0.00    0.00    6.25    0.00    0.00    0.00   64.58
12:46:56 PM    6   19.39    0.00   12.24    0.00    0.00    5.10    0.00    0.00    0.00   63.27
12:46:56 PM    7   21.65    0.00   11.34    0.00    0.00    4.12    0.00    0.00    0.00   62.89

12:46:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:46:57 PM  all   20.91    0.00   11.03    0.00    0.00    5.20    0.00    0.00    0.00   62.86
12:46:57 PM    0   20.79    0.00   11.88    0.00    0.00    3.96    0.00    0.00    0.00   63.37
