Linux 5.15.0-171-generic (cloudnet-s05) 	05/19/2026 	_x86_64_	(8 CPU)

12:08:40 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:08:41 PM  all    1.00    0.00    0.38    0.00    0.00    0.13    0.00    0.00    0.00   98.50
12:08:41 PM    0    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
12:08:41 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:08:41 PM    2    1.98    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   96.04
12:08:41 PM    3    3.03    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   95.96
12:08:41 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:08:41 PM    5    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:08:41 PM    6    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:08:41 PM    7    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

12:08:41 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:08:42 PM  all    0.50    0.00    0.62    0.12    0.00    0.00    0.00    0.00    0.00   98.75
12:08:42 PM    0    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
12:08:42 PM    1    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
12:08:42 PM    2    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
12:08:42 PM    3    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
12:08:42 PM    4    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:08:42 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:08:42 PM    6    0.00    0.00    0.99    0.99    0.00    0.00    0.00    0.00    0.00   98.02
12:08:42 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:08:42 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:08:43 PM  all    0.62    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.38
12:08:43 PM    0    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
12:08:43 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:08:43 PM    2    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
12:08:43 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:08:43 PM    4    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
12:08:43 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:08:43 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:08:43 PM    7    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01

12:08:43 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:08:44 PM  all    6.97    0.00   10.86    0.12    0.00    3.42    0.00    0.00    0.00   78.63
12:08:44 PM    0   10.89    0.00    6.93    0.00    0.00    3.96    0.00    0.00    0.00   78.22
12:08:44 PM    1    9.52    0.00    8.57    0.00    0.00    2.86    0.00    0.00    0.00   79.05
12:08:44 PM    2    7.21    0.00   13.51    0.00    0.00    4.50    0.00    0.00    0.00   74.77
12:08:44 PM    3    5.71    0.00   11.43    0.00    0.00    1.90    0.00    0.00    0.00   80.95
12:08:44 PM    4    3.81    0.00   12.38    0.00    0.00    3.81    0.00    0.00    0.00   80.00
12:08:44 PM    5    4.72    0.00   13.21    0.94    0.00    1.89    0.00    0.00    0.00   79.25
12:08:44 PM    6    7.55    0.00    8.49    0.00    0.00    4.72    0.00    0.00    0.00   79.25
