Linux 5.15.0-171-generic (cloudnet-s05) 	05/19/2026 	_x86_64_	(8 CPU)

12:37:42 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:37:43 PM  all    0.88    0.00    0.63    0.00    0.00    0.00    0.00    0.00    0.00   98.49
12:37:43 PM    0    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
12:37:43 PM    1    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
12:37:43 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:37:43 PM    3    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
12:37:43 PM    4    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
12:37:43 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:37:43 PM    6    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:37:43 PM    7    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

12:37:43 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:37:44 PM  all    0.25    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.62
12:37:44 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:37:44 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:37:44 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:37:44 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:37:44 PM    4    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:37:44 PM    5    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
12:37:44 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:37:44 PM    7    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00

12:37:44 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:37:45 PM  all    0.00    0.00    0.13    0.00    0.00    0.00    0.00    0.00    0.00   99.87
12:37:45 PM    0    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:37:45 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:37:45 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:37:45 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:37:45 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:37:45 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:37:45 PM    6    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
12:37:45 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:37:45 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:37:46 PM  all    2.03    0.00    3.65    1.35    0.00    0.54    0.00    0.00    0.00   92.43
12:37:46 PM    0    2.17    0.00    3.26    0.00    0.00    1.09    0.00    0.00    0.00   93.48
12:37:46 PM    1    1.08    0.00    4.30    0.00    0.00    1.08    0.00    0.00    0.00   93.55
12:37:46 PM    2    2.15    0.00    2.15    0.00    0.00    1.08    0.00    0.00    0.00   94.62
12:37:46 PM    3    2.13    0.00    4.26    0.00    0.00    0.00    0.00    0.00    0.00   93.62
12:37:46 PM    4    2.17    0.00    3.26    0.00    0.00    0.00    0.00    0.00    0.00   94.57
12:37:46 PM    5    1.08    0.00    3.23   10.75    0.00    0.00    0.00    0.00    0.00   84.95
12:37:46 PM    6    1.08    0.00    4.30    0.00    0.00    1.08    0.00    0.00    0.00   93.55
12:37:46 PM    7    4.44    0.00    4.44    0.00    0.00    0.00    0.00    0.00    0.00   91.11

12:37:46 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:37:47 PM  all    4.95    0.00    7.14    0.27    0.00    2.20    0.00    0.00    0.00   85.44
12:37:47 PM    0    3.30    0.00    9.89    0.00    0.00    1.10    0.00    0.00    0.00   85.71
12:37:47 PM    1    3.30    0.00    7.69    0.00    0.00    2.20    0.00    0.00    0.00   86.81
12:37:47 PM    2    5.32    0.00    8.51    1.06    0.00    3.19    0.00    0.00    0.00   81.91
12:37:47 PM    3    6.45    0.00    7.53    0.00    0.00    2.15    0.00    0.00    0.00   83.87
12:37:47 PM    4    1.12    0.00    7.87    0.00    0.00    1.12    0.00    0.00    0.00   89.89
12:37:47 PM    5   10.00    0.00    5.56    0.00    0.00    2.22    0.00    0.00    0.00   82.22
12:37:47 PM    6    5.38    0.00    6.45    0.00    0.00    3.23    0.00    0.00    0.00   84.95
12:37:47 PM    7    4.60    0.00    3.45    1.15    0.00    2.30    0.00    0.00    0.00   88.51

12:37:47 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:37:48 PM  all    4.15    0.00    6.56    0.00    0.00    1.47    0.00    0.00    0.00   87.82
12:37:48 PM    0    4.26    0.00    5.32    0.00    0.00    1.06    0.00    0.00    0.00   89.36
12:37:48 PM    1    3.19    0.00    6.38    0.00    0.00    3.19    0.00    0.00    0.00   87.23
12:37:48 PM    2    2.15    0.00    6.45    0.00    0.00    1.08    0.00    0.00    0.00   90.32
12:37:48 PM    3    5.15    0.00    9.28    0.00    0.00    2.06    0.00    0.00    0.00   83.51
12:37:48 PM    4    3.26    0.00    7.61    0.00    0.00    2.17    0.00    0.00    0.00   86.96
12:37:48 PM    5    3.33    0.00    5.56    0.00    0.00    1.11    0.00    0.00    0.00   90.00
12:37:48 PM    6    5.43    0.00    5.43    0.00    0.00    0.00    0.00    0.00    0.00   89.13
12:37:48 PM    7    6.32    0.00    6.32    0.00    0.00    1.05    0.00    0.00    0.00   86.32

12:37:48 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:37:49 PM  all    4.63    0.00    8.47    0.13    0.00    2.65    0.00    0.00    0.00   84.13
12:37:49 PM    0    7.45    0.00    7.45    0.00    0.00    2.13    0.00    0.00    0.00   82.98
12:37:49 PM    1    5.32    0.00    8.51    0.00    0.00    2.13    0.00    0.00    0.00   84.04
12:37:49 PM    2    5.21    0.00   10.42    0.00    0.00    3.12    0.00    0.00    0.00   81.25
12:37:49 PM    3    3.26    0.00    8.70    0.00    0.00    2.17    0.00    0.00    0.00   85.87
12:37:49 PM    4    6.25    0.00    8.33    1.04    0.00    1.04    0.00    0.00    0.00   83.33
12:37:49 PM    5    3.09    0.00   11.34    0.00    0.00    4.12    0.00    0.00    0.00   81.44
12:37:49 PM    6    3.30    0.00    5.49    0.00    0.00    2.20    0.00    0.00    0.00   89.01
12:37:49 PM    7    3.12    0.00    7.29    0.00    0.00    4.17    0.00    0.00    0.00   85.42

12:37:49 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:37:50 PM  all    5.45    0.00    8.96    0.00    0.00    2.73    0.00    0.00    0.00   82.86
12:37:50 PM    0    2.13    0.00    8.51    0.00    0.00    4.26    0.00    0.00    0.00   85.11
12:37:50 PM    1    4.17    0.00    8.33    0.00    0.00    2.08    0.00    0.00    0.00   85.42
12:37:50 PM    2    4.17    0.00    8.33    0.00    0.00    4.17    0.00    0.00    0.00   83.33
12:37:50 PM    3    4.12    0.00   11.34    0.00    0.00    3.09    0.00    0.00    0.00   81.44
12:37:50 PM    4    9.28    0.00    8.25    0.00    0.00    1.03    0.00    0.00    0.00   81.44
12:37:50 PM    5    6.32    0.00    7.37    0.00    0.00    3.16    0.00    0.00    0.00   83.16
12:37:50 PM    6    8.16    0.00   10.20    0.00    0.00    3.06    0.00    0.00    0.00   78.57
12:37:50 PM    7    5.15    0.00    9.28    0.00    0.00    1.03    0.00    0.00    0.00   84.54

12:37:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:37:51 PM  all    4.71    0.00    9.41    0.00    0.00    2.80    0.00    0.00    0.00   83.08
12:37:51 PM    0    5.26    0.00    6.32    0.00    0.00    2.11    0.00    0.00    0.00   86.32
12:37:51 PM    1    4.21    0.00    8.42    0.00    0.00    3.16    0.00    0.00    0.00   84.21
12:37:51 PM    2    5.05    0.00   11.11    0.00    0.00    2.02    0.00    0.00    0.00   81.82
12:37:51 PM    3    5.00    0.00    8.00    0.00    0.00    5.00    0.00    0.00    0.00   82.00
12:37:51 PM    4    5.05    0.00   10.10    0.00    0.00    1.01    0.00    0.00    0.00   83.84
12:37:51 PM    5    5.83    0.00   11.65    0.00    0.00    3.88    0.00    0.00    0.00   78.64
12:37:51 PM    6    3.12    0.00    9.38    0.00    0.00    2.08    0.00    0.00    0.00   85.42
12:37:51 PM    7    4.04    0.00   10.10    0.00    0.00    3.03    0.00    0.00    0.00   82.83

12:37:51 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:37:52 PM  all    5.60    0.00    9.34    0.25    0.00    2.74    0.00    0.00    0.00   82.07
12:37:52 PM    0    4.00    0.00   10.00    0.00    0.00    1.00    0.00    0.00    0.00   85.00
12:37:52 PM    1    4.04    0.00    9.09    0.00    0.00    1.01    0.00    0.00    0.00   85.86
12:37:52 PM    2    6.73    0.00    8.65    0.00    0.00    3.85    0.00    0.00    0.00   80.77
12:37:52 PM    3    4.90    0.00    9.80    1.96    0.00    3.92    0.00    0.00    0.00   79.41
12:37:52 PM    4    6.00    0.00    9.00    0.00    0.00    3.00    0.00    0.00    0.00   82.00
12:37:52 PM    5    9.71    0.00    8.74    0.00    0.00    1.94    0.00    0.00    0.00   79.61
12:37:52 PM    6    2.08    0.00   11.46    0.00    0.00    3.12    0.00    0.00    0.00   83.33
12:37:52 PM    7    7.07    0.00    8.08    0.00    0.00    4.04    0.00    0.00    0.00   80.81

12:37:52 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:37:53 PM  all    6.08    0.00   11.65    0.00    0.00    2.15    0.00    0.00    0.00   80.13
12:37:53 PM    0    7.22    0.00    9.28    0.00    0.00    3.09    0.00    0.00    0.00   80.41
12:37:53 PM    1    5.15    0.00   11.34    0.00    0.00    2.06    0.00    0.00    0.00   81.44
12:37:53 PM    2    7.22    0.00   10.31    0.00    0.00    3.09    0.00    0.00    0.00   79.38
12:37:53 PM    3    5.94    0.00   13.86    0.00    0.00    1.98    0.00    0.00    0.00   78.22
12:37:53 PM    4    4.95    0.00   12.87    0.00    0.00    1.98    0.00    0.00    0.00   80.20
12:37:53 PM    5    5.00    0.00   14.00    0.00    0.00    1.00    0.00    0.00    0.00   80.00
12:37:53 PM    6    8.16    0.00   10.20    0.00    0.00    2.04    0.00    0.00    0.00   79.59
12:37:53 PM    7    5.05    0.00   11.11    0.00    0.00    2.02    0.00    0.00    0.00   81.82

12:37:53 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:37:54 PM  all   10.87    0.00   18.57    0.00    0.00    2.89    0.00    0.00    0.00   67.68
12:37:54 PM    0   10.87    0.00   17.39    0.00    0.00    3.26    0.00    0.00    0.00   68.48
12:37:54 PM    1   11.11    0.00   16.67    0.00    0.00    5.56    0.00    0.00    0.00   66.67
12:37:54 PM    2   12.90    0.00   19.35    0.00    0.00    3.23    0.00    0.00    0.00   64.52
12:37:54 PM    3    9.30    0.00   16.28    0.00    0.00    3.49    0.00    0.00    0.00   70.93
12:37:54 PM    4   11.83    0.00   19.35    0.00    0.00    2.15    0.00    0.00    0.00   66.67
12:37:54 PM    5   10.34    0.00   18.39    0.00    0.00    1.15    0.00    0.00    0.00   70.11
12:37:54 PM    6   12.77    0.00   19.15    0.00    0.00    2.13    0.00    0.00    0.00   65.96
12:37:54 PM    7    7.61    0.00   21.74    0.00    0.00    2.17    0.00    0.00    0.00   68.48

12:37:54 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:37:55 PM  all    7.38    0.00   13.61    0.13    0.00    3.31    0.00    0.00    0.00   75.57
12:37:55 PM    0    6.93    0.00   14.85    0.00    0.00    4.95    0.00    0.00    0.00   73.27
12:37:55 PM    1    5.00    0.00   15.00    0.00    0.00    3.00    0.00    0.00    0.00   77.00
12:37:55 PM    2    4.21    0.00   12.63    0.00    0.00    1.05    0.00    0.00    0.00   82.11
12:37:55 PM    3    7.92    0.00   12.87    0.00    0.00    3.96    0.00    0.00    0.00   75.25
12:37:55 PM    4   10.31    0.00   12.37    1.03    0.00    4.12    0.00    0.00    0.00   72.16
12:37:55 PM    5    8.08    0.00   16.16    0.00    0.00    2.02    0.00    0.00    0.00   73.74
12:37:55 PM    6   10.31    0.00   10.31    0.00    0.00    4.12    0.00    0.00    0.00   75.26
12:37:55 PM    7    6.25    0.00   14.58    0.00    0.00    3.12    0.00    0.00    0.00   76.04

12:37:55 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:37:56 PM  all    6.98    0.00   12.31    0.00    0.00    3.67    0.00    0.00    0.00   77.04
12:37:56 PM    0    8.74    0.00    8.74    0.00    0.00    1.94    0.00    0.00    0.00   80.58
12:37:56 PM    1   10.19    0.00   12.04    0.00    0.00    2.78    0.00    0.00    0.00   75.00
12:37:56 PM    2    2.94    0.00    9.80    0.00    0.00    4.90    0.00    0.00    0.00   82.35
12:37:56 PM    3    9.01    0.00   13.51    0.00    0.00    4.50    0.00    0.00    0.00   72.97
12:37:56 PM    4    3.92    0.00   15.69    0.00    0.00    1.96    0.00    0.00    0.00   78.43
12:37:56 PM    5    5.83    0.00    9.71    0.00    0.00    3.88    0.00    0.00    0.00   80.58
12:37:56 PM    6    5.77    0.00   10.58    0.00    0.00    5.77    0.00    0.00    0.00   77.88
12:37:56 PM    7    8.93    0.00   17.86    0.00    0.00    3.57    0.00    0.00    0.00   69.64

12:37:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:37:57 PM  all    8.75    0.00   17.50    0.00    0.00    2.25    0.00    0.00    0.00   71.50
12:37:57 PM    0   10.64    0.00   13.83    0.00    0.00    1.06    0.00    0.00    0.00   74.47
12:37:57 PM    1    9.18    0.00   18.37    0.00    0.00    4.08    0.00    0.00    0.00   68.37
12:37:57 PM    2   11.00    0.00   16.00    0.00    0.00    4.00    0.00    0.00    0.00   69.00
12:37:57 PM    3   12.00    0.00   19.00    0.00    0.00    2.00    0.00    0.00    0.00   67.00
12:37:57 PM    4    4.17    0.00   15.62    0.00    0.00    1.04    0.00    0.00    0.00   79.17
12:37:57 PM    5    7.48    0.00   21.50    0.00    0.00    1.87    0.00    0.00    0.00   69.16
12:37:57 PM    6    5.83    0.00   20.39    0.00    0.00    1.94    0.00    0.00    0.00   71.84
12:37:57 PM    7    9.80    0.00   14.71    0.00    0.00    1.96    0.00    0.00    0.00   73.53

12:37:57 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:37:58 PM  all    9.47    0.00   15.25    0.00    0.00    3.20    0.00    0.00    0.00   72.08
12:37:58 PM    0   12.75    0.00   15.69    0.00    0.00    2.94    0.00    0.00    0.00   68.63
12:37:58 PM    1   10.78    0.00   14.71    0.00    0.00    3.92    0.00    0.00    0.00   70.59
12:37:58 PM    2   11.76    0.00   14.71    0.00    0.00    3.92    0.00    0.00    0.00   69.61
12:37:58 PM    3   12.37    0.00   13.40    0.00    0.00    3.09    0.00    0.00    0.00   71.13
12:37:58 PM    4    8.74    0.00   14.56    0.00    0.00    3.88    0.00    0.00    0.00   72.82
